DISTRITO_ACCIDENTE,COLISION DOBLE                          ,COLISION MULTIPLE                       ,CHOQUE CON OBJETO FIJO                  ,ATROPELLO                               ,VUELCO                                  ,CAIDA MOTOCICLETA                       ,CAIDA CICLOMOTOR                        ,CAIDA BICICLETA                         ,CAIDA VIAJERO BUS                       ,OTRAS CAUSAS                            ,TOTAL
ARGANZUELA                    ,373,48,102,61,3,45,14,5,3,0,654
BARAJAS                       ,78,3,44,30,3,9,3,0,1,0,171
CARABANCHEL                   ,381,48,125,103,3,36,8,10,8,4,726
CENTRO                        ,528,48,173,149,4,77,13,6,3,6,"1,007"
CHAMARTIN                     ,514,72,122,73,5,76,8,7,5,6,888
CHAMBERI                      ,414,24,72,102,0,68,15,6,7,4,712
CIUDAD LINEAL                 ,371,68,150,112,8,54,11,5,6,2,787
FUENCARRAL-EL PARDO           ,312,42,128,89,12,30,9,16,1,4,643
HORTALEZA                     ,189,18,91,43,3,28,12,3,2,2,391
LATINA                        ,285,35,114,88,1,20,8,4,9,3,567
MONCLOA-ARAVACA               ,290,58,171,66,9,54,5,23,4,3,683
MORATALAZ                     ,137,16,52,34,5,12,6,2,2,3,269
PUENTE DE VALLECAS            ,344,54,182,116,4,30,14,3,1,4,752
RETIRO                        ,367,73,71,68,3,50,9,6,6,5,658
SALAMANCA                     ,528,69,132,97,1,82,17,5,3,6,940
SAN BLAS                      ,285,25,74,71,2,32,8,5,2,1,505
TETUAN                        ,321,23,76,87,0,60,15,4,2,1,589
USERA                         ,179,25,67,75,3,14,1,0,4,1,369
VICALVARO                     ,73,9,43,22,2,10,1,1,2,4,167
VILLA DE VALLECAS             ,129,8,44,34,4,11,3,2,1,1,237
VILLAVERDE                    ,140,10,75,46,1,5,5,1,3,2,288
Total,"6,238",776,"2,108","1,566",76,803,185,114,75,62,"12,003"
