DISTRITO_ACCIDENTE,COLISION DOBLE                          ,COLISION MULTIPLE                       ,CHOQUE CON OBJETO FIJO                  ,ATROPELLO                               ,VUELCO                                  ,CAIDA MOTOCICLETA                       ,CAIDA CICLOMOTOR                        ,CAIDA BICICLETA                         ,CAIDA VIAJERO BUS                       ,OTRAS CAUSAS                            ,TOTAL
ARGANZUELA                    ,389,54,126,75,9,43,9,4,5,8,722
BARAJAS                       ,89,6,53,21,0,12,2,1,2,2,188
CARABANCHEL                   ,375,44,171,137,8,36,13,6,9,8,807
CENTRO                        ,514,55,171,143,0,61,12,3,10,12,981
CHAMARTIN                     ,494,70,133,92,10,72,22,2,6,7,908
CHAMBERI                      ,414,35,87,87,3,51,12,4,4,5,702
CIUDAD LINEAL                 ,398,64,124,101,3,57,17,5,4,4,777
FUENCARRAL-EL PARDO           ,321,47,151,78,11,34,16,7,2,8,675
HORTALEZA                     ,215,16,109,58,3,29,13,7,4,4,458
LATINA                        ,298,40,134,85,7,24,10,2,9,11,620
MONCLOA-ARAVACA               ,340,57,210,71,11,48,8,7,1,13,766
MORATALAZ                     ,151,26,59,40,0,23,3,2,3,4,311
PUENTE DE VALLECAS            ,367,54,196,122,8,22,14,2,5,11,801
RETIRO                        ,369,59,74,51,4,48,10,8,6,6,635
SALAMANCA                     ,535,56,122,104,3,107,31,0,5,2,965
SAN BLAS                      ,301,29,88,66,3,20,10,3,2,5,527
TETUAN                        ,338,23,115,101,1,42,15,5,7,8,655
USERA                         ,214,24,96,53,1,13,2,1,4,3,411
VICALVARO                     ,86,6,39,15,6,9,4,3,2,2,172
VILLA DE VALLECAS             ,142,6,67,36,3,8,4,1,2,3,272
VILLAVERDE                    ,148,19,65,46,4,9,4,3,1,8,307
Total,"6,498",790,"2,390","1,582",98,768,231,76,93,134,"12,660"
